Employee ID,Name,Role,Department,Wage Rate
E00001,Lori Davis,Operator,Packaging,37.86
E00002,Candice Williams,Operator,QA,21.45
E00003,Levi Wall,Technician,Logistics,19.07
E00004,Shawn Carter,Operator,QA,32.05
E00005,Brandon Bryant,Engineer,QA,38.78
E00006,Gloria Torres,Operator,Packaging,26.92
E00007,Zachary Watson,Supervisor,Packaging,49.23
E00008,Kimberly Williamson,Technician,Assembly,37.39
E00009,Maria Sosa,Engineer,QA,29.24
E00010,Manuel Massey,Operator,Logistics,25.68
E00011,Anthony Meadows,Technician,QA,23.73
E00012,Tony Robinson,Technician,Packaging,39.16
E00013,Nicole Wilson,Operator,QA,27.54
E00014,Joyce Dennis,Operator,Maintenance,12.39
E00015,Lauren Morrison,Technician,Assembly,25.92
E00016,Valerie Manning,Operator,Logistics,39.52
E00017,Michael Stewart III,Supervisor,QA,17.3
E00018,Sandy Meyers,Operator,QA,17.02
E00019,Janet Boone,Technician,Maintenance,31.26
E00020,Stephanie Mendoza,Technician,QA,31.27
E00021,Mark Robinson,Engineer,Assembly,35.38
E00022,Brian Doyle,Operator,Maintenance,43.98
E00023,Michelle Lane,Operator,Logistics,38.98
E00024,Julie Hart,Engineer,Maintenance,34.44
E00025,Emma Gonzalez,Operator,Logistics,38.9
E00026,Stacey Edwards,Engineer,Assembly,22.92
E00027,Larry Kelley,Supervisor,Maintenance,24.47
E00028,Pamela Sanders,Technician,QA,19.13
E00029,Elizabeth Jones,Engineer,Packaging,21.75
E00030,Joseph Mcintyre,Engineer,Logistics,35.24
E00031,Eric Martinez,Technician,Packaging,13.68
E00032,Cassidy Cook,Engineer,Assembly,27.35
E00033,Jennifer Nicholson,Operator,Packaging,27.23
E00034,Charles Jones,Supervisor,Packaging,29.75
E00035,Derrick Brown,Supervisor,Assembly,27.03
E00036,David Williamson,Engineer,Maintenance,22.49
E00037,Ryan Branch,Technician,Maintenance,27.05
E00038,William Brooks,Technician,QA,45.74
E00039,Leslie Perez,Engineer,Packaging,47.77
E00040,Leah Jones,Supervisor,Maintenance,30.07
E00041,Fred Wong,Supervisor,Maintenance,34.96
E00042,Darren Morton,Supervisor,Packaging,14.62
E00043,Mitchell Martin,Supervisor,Logistics,22.69
E00044,Jose Hebert,Engineer,Logistics,26.59
E00045,Daniel Miller,Technician,Assembly,44.65
E00046,Sean Delgado,Supervisor,Maintenance,20.02
E00047,Karen Curtis,Technician,QA,29.32
E00048,Steven Garcia,Operator,Assembly,49.42
E00049,Sean Mercado,Engineer,Logistics,30.78
E00050,Erin Anderson,Operator,QA,34.52
E00051,Jonathan Skinner,Engineer,Assembly,14.83
E00052,Blake Gonzalez,Engineer,QA,43.05
E00053,Monica Nichols,Supervisor,Packaging,34.12
E00054,Jillian Hood,Operator,Packaging,31.8
E00055,John Russell,Technician,Assembly,23.71
E00056,Tracy Barnes,Technician,Assembly,22.16
E00057,Cynthia Wright,Operator,Logistics,26.68
E00058,Kelsey Watson,Technician,Logistics,37.25
E00059,Connie Tate,Supervisor,QA,45.02
E00060,Caroline Carr,Technician,QA,30.42
E00061,Laura Stone,Operator,Maintenance,36.77
E00062,Mrs. Tabitha Swanson,Operator,Packaging,33.44
E00063,Dr. Deborah Smith,Supervisor,Packaging,35.0
E00064,Hannah Lindsey,Operator,QA,36.99
E00065,Jacob Anderson,Technician,QA,43.69
E00066,Misty Wolfe,Operator,QA,13.33
E00067,Keith Brown,Supervisor,Assembly,40.55
E00068,Paul Roberts,Supervisor,QA,19.75
E00069,Stephanie Ferguson,Engineer,Packaging,17.77
