Order ID,Customer Name,Label Type,Customizations,Quantity,Order Date,Due Date
O000001,William Moore,Type B,"color=Black, size=Small, logo=Yes",564,2023-03-18,2023-04-05
O000002,Maria Barker,Type C,"color=Green, size=Small, logo=No",655,2023-05-21,2023-06-20
O000003,Jeffrey Key,Type B,"color=Black, size=Medium, logo=No",415,2023-06-12,2023-06-13
O000004,Timothy Fleming,Type B,"color=Red, size=Large, logo=Yes",211,2023-01-31,2023-03-02
O000005,Alexander Nelson,Type B,"color=Black, size=Large, logo=No",898,2023-01-11,2023-02-07
O000006,Alicia Holloway,Type B,"color=Blue, size=Large, logo=No",845,2023-09-23,2023-10-12
O000007,Jennifer Mcgee,Type C,"color=Yellow, size=Medium, logo=Yes",987,2023-07-07,2023-08-02
O000008,Melanie Stone PhD,Type C,"color=Green, size=Small, logo=Yes",228,2023-05-12,2023-05-23
O000009,Jesse Gould,Type C,"color=Blue, size=Large, logo=Yes",21,2023-02-18,2023-03-11
O000010,Sara Hill,Type B,"color=Blue, size=Small, logo=No",377,2023-10-27,2023-11-05
O000011,Judith Horn,Type B,"color=Black, size=Large, logo=Yes",156,2023-09-18,2023-09-25
O000012,Gail Thompson,Type B,"color=Black, size=Large, logo=No",949,2023-11-11,2023-12-10
O000013,Shawn Frye,Type A,"color=Red, size=Small, logo=No",722,2023-04-21,2023-04-28
O000014,Elaine Casey,Type C,"color=Green, size=Small, logo=No",585,2023-02-25,2023-03-24
O000015,Brian White,Type A,"color=Blue, size=Medium, logo=Yes",401,2023-04-12,2023-05-10
O000016,Jesse Lloyd,Type B,"color=Green, size=Large, logo=Yes",610,2023-01-25,2023-02-07
O000017,Travis Ford,Type A,"color=Yellow, size=Large, logo=Yes",575,2023-09-07,2023-10-04
O000018,Joshua King,Type C,"color=Red, size=Large, logo=Yes",832,2023-05-31,2023-06-16
O000019,Rebecca Reed,Type A,"color=Yellow, size=Large, logo=Yes",66,2023-10-10,2023-10-27
O000020,April Christian,Type C,"color=Black, size=Small, logo=No",250,2023-04-19,2023-05-05
O000021,Aaron Gaines,Type C,"color=Blue, size=Medium, logo=No",921,2023-10-23,2023-11-14
O000022,Richard Mitchell,Type A,"color=Black, size=Small, logo=Yes",698,2023-09-24,2023-10-16
O000023,Rachel Taylor,Type C,"color=Yellow, size=Large, logo=Yes",720,2023-03-29,2023-04-25
O000024,Ashley Hunt,Type D,"color=Green, size=Small, logo=No",133,2023-08-07,2023-08-24
O000025,Jamie Martin,Type C,"color=Black, size=Medium, logo=Yes",418,2023-01-14,2023-02-06
O000026,Olivia Lee,Type B,"color=Blue, size=Large, logo=No",69,2023-08-11,2023-08-14
O000027,Brandon Jones,Type A,"color=Green, size=Medium, logo=No",594,2023-01-20,2023-02-07
O000028,Renee Graham,Type B,"color=Red, size=Large, logo=Yes",580,2023-03-17,2023-04-15
O000029,Joanna Norman,Type D,"color=Red, size=Medium, logo=Yes",121,2023-02-10,2023-02-15
O000030,Heather Jones,Type A,"color=Red, size=Large, logo=No",642,2023-05-16,2023-06-08
O000031,Jamie Wade,Type B,"color=Black, size=Medium, logo=No",437,2023-08-05,2023-08-30
O000032,Ricky Christian,Type C,"color=Blue, size=Medium, logo=Yes",410,2023-04-08,2023-05-04
O000033,Stacy Johnson,Type B,"color=Yellow, size=Medium, logo=No",167,2023-04-29,2023-05-08
O000034,Carol Hanson,Type C,"color=Red, size=Large, logo=Yes",478,2023-10-07,2023-10-26
O000035,Alicia Lawson,Type D,"color=Black, size=Small, logo=Yes",879,2023-01-02,2023-01-08
O000036,Deborah Sheppard,Type C,"color=Black, size=Small, logo=No",390,2023-05-07,2023-05-27
O000037,Megan Davis,Type C,"color=Green, size=Small, logo=No",52,2023-07-30,2023-08-21
O000038,Stacey Mcdonald,Type B,"color=Green, size=Medium, logo=No",928,2023-02-17,2023-03-15
O000039,Matthew Jones,Type D,"color=Green, size=Medium, logo=No",182,2023-07-09,2023-07-14
O000040,Audrey Sutton,Type B,"color=Black, size=Medium, logo=No",453,2023-01-14,2023-01-22
O000041,Christine Guerrero,Type C,"color=Black, size=Medium, logo=No",528,2023-05-20,2023-06-11
